"Position (m) Run #1","Force (N) Run #1"
6.99915E-5,1717.8
7.03810E-5,1722.6
7.11841E-5,1731.7
7.27504E-5,1750.8
7.49249E-5,1782.5
7.65408E-5,1812.6
7.66622E-5,1822.5
7.72471E-5,1823.5
7.72721E-5,1823.0
7.72847E-5,1822.7
7.73098E-5,1822.3
7.72972E-5,1822.5
7.72847E-5,1822.7
7.72596E-5,1823.2
7.78194E-5,1824.7
7.82912E-5,1827.8
7.84739E-5,1836.5
7.95853E-5,1851.6
8.07194E-5,1866.3
8.09110E-5,1874.7
8.14065E-5,1877.4
8.12923E-5,1879.5
8.11527E-5,1882.2
8.17369E-5,1883.2
8.15844E-5,1886.0
8.20160E-5,1889.9
8.24092E-5,1894.5
8.31184E-5,1905.1
8.42311E-5,1920.0
8.47833E-5,1933.5
8.55008E-5,1943.8
8.63332E-5,1952.0
8.70100E-5,1963.1
8.80874E-5,1978.5
8.86962E-5,1990.8
8.90195E-5,1996.5
8.96286E-5,1997.0
9.01205E-5,1999.7
8.98734E-5,2004.2
9.03131E-5,2007.8
9.11792E-5,2015.3
9.18618E-5,2026.1
9.21569E-5,2032.4
9.26349E-5,2035.3
9.25694E-5,2036.5
9.25039E-5,2037.7
9.31128E-5,2038.2
9.30735E-5,2038.9
9.30473E-5,2039.4
9.29556E-5,2041.1
9.38848E-5,2047.3
9.44195E-5,2060.8
9.62905E-5,2084.6
9.88695E-5,2118.6
1.00200E-4,2140.5
1.00897E-4,2150.8
1.01292E-4,2155.2
1.02162E-4,2162.4
1.03292E-4,2176.3
1.05480E-4,2205.5
1.08002E-4,2239.9
1.10179E-4,2269.0
1.11867E-4,2295.5
1.13822E-4,2317.2
1.16126E-4,2343.9
1.18509E-4,2369.2
1.19838E-4,2390.6
1.20940E-4,2404.8
1.22178E-4,2416.6
1.23307E-4,2430.3
1.24798E-4,2448.8
1.27178E-4,2474.1
1.28479E-4,2496.0
1.30661E-4,2513.6
1.31923E-4,2536.2
1.33998E-4,2555.7
1.35871E-4,2578.8
1.38218E-4,2604.8
1.40798E-4,2626.7
1.41893E-4,2641.2
1.42178E-4,2647.4
1.43044E-4,2654.7
1.44384E-4,2664.8
1.45022E-4,2676.1
1.46024E-4,2680.9
1.45903E-4,2683.1
1.46757E-4,2690.5
1.47912E-4,2704.0
1.49489E-4,2721.3
1.52309E-4,2750.7
1.54714E-4,2776.2
1.56687E-4,2798.1
1.58822E-4,2817.1
1.60601E-4,2831.1
1.61466E-4,2838.6
1.62383E-4,2845.1
1.63248E-4,2852.5
1.64502E-4,2864.6
1.66068E-4,2882.6
1.66859E-4,2891.5
1.67339E-4,2894.4
1.68415E-4,2898.0
1.69753E-4,2908.6
1.71265E-4,2927.9
1.73238E-4,2950.5
1.75853E-4,2973.1
1.78106E-4,2990.7
1.80934E-4,3009.5
1.83892E-4,3038.1
1.86597E-4,3059.6
1.88347E-4,3075.0
1.90334E-4,3085.8
1.91187E-4,3094.0
1.93116E-4,3106.0
1.94352E-4,3119.3
1.96570E-4,3138.3
1.99321E-4,3159.5
2.02210E-4,3178.0
2.04446E-4,3197.0
2.07417E-4,3214.1
2.09711E-4,3232.1
2.12680E-4,3249.5
2.15089E-4,3265.4
2.16993E-4,3278.6
2.19329E-4,3296.2
2.22859E-4,3315.4
2.26113E-4,3340.7
2.30203E-4,3361.9
2.33686E-4,3382.6
2.36696E-4,3399.9
2.38893E-4,3407.4
2.40063E-4,3409.6
2.40544E-4,3412.9
2.42195E-4,3418.5
2.43594E-4,3429.5
2.45488E-4,3443.7
2.47373E-4,3458.2
2.50543E-4,3472.4
2.54575E-4,3495.7
2.58214E-4,3513.8
2.61478E-4,3526.1
2.64173E-4,3536.9
2.66267E-4,3547.0
2.68076E-4,3549.2
2.68722E-4,3548.9
2.70351E-4,3555.2
2.71980E-4,3561.5
2.72922E-4,3568.9
2.75888E-4,3588.2
2.78443E-4,3602.4
2.79797E-4,3600.4
2.81067E-4,3600.4
2.82138E-4,3605.0
2.83229E-4,3609.1
2.85371E-4,3618.3
2.87815E-4,3635.1
2.89543E-4,3639.2
2.90708E-4,3641.6
2.91916E-4,3643.1
2.92791E-4,3637.5
2.93415E-4,3637.8
2.94029E-4,3638.2
2.94560E-4,3640.6
2.96090E-4,3649.3
2.97840E-4,3667.6
2.98995E-4,3670.3
2.99724E-4,3668.1
3.00984E-4,3668.3
3.01546E-4,3670.0
3.02671E-4,3673.4
3.03702E-4,3678.9
3.07173E-4,3701.6
3.10383E-4,3715.5
3.12319E-4,3714.8
3.13275E-4,3707.3
3.14003E-4,3705.2
3.15201E-4,3706.8
3.16671E-4,3717.0
3.21261E-4,3743.2
3.27379E-4,3763.4
3.31199E-4,3763.2
3.31777E-4,3749.7
3.32159E-4,3740.8
3.32417E-4,3734.8
3.33207E-4,3731.2
3.33341E-4,3728.0
3.33475E-4,3724.9
3.33548E-4,3723.2
3.33620E-4,3721.5
3.33703E-4,3719.6
3.33734E-4,3718.9
3.34152E-4,3723.9
3.38850E-4,3762.5
3.46686E-4,3816.6
3.58223E-4,3828.9
3.65874E-4,3828.2
3.67358E-4,3808.4
3.68509E-4,3796.4
3.68809E-4,3789.4
3.68974E-4,3785.6
3.69181E-4,3780.7
3.69242E-4,3779.3
3.69387E-4,3775.9
3.69449E-4,3774.5
3.69552E-4,3772.1
3.69573E-4,3771.6
3.69645E-4,3769.9
3.69707E-4,3768.5
3.69717E-4,3768.2
3.69676E-4,3769.2
3.69707E-4,3768.5
3.70373E-4,3767.7
3.70249E-4,3770.6
3.72701E-4,3787.5
3.86437E-4,3881.4
4.12908E-4,3885.9
4.29543E-4,3883.1
4.33813E-4,3857.8
4.35185E-4,3840.7
4.42317E-4,3881.4
4.55313E-4,3903.8
4.65393E-4,3891.0
4.68176E-4,3870.8
4.71018E-4,3863.8
4.78362E-4,3899.4
4.88716E-4,3909.5
4.96892E-4,3896.8
4.99613E-4,3878.0
5.01289E-4,3868.6
5.03964E-4,3880.2
5.06668E-4,3891.0
5.07254E-4,3877.5
5.07681E-4,3867.6
5.07993E-4,3860.4
5.08212E-4,3855.4
5.08409E-4,3850.8
5.08534E-4,3847.9
5.09241E-4,3846.2
5.09262E-4,3845.7
5.09793E-4,3848.2
5.12563E-4,3872.2
5.21273E-4,3934.6
5.36513E-4,3934.6
5.48142E-4,3915.6
5.53250E-4,3900.4
5.57758E-4,3898.9
5.66918E-4,3921.8
5.76528E-4,3919.9
5.83310E-4,3910.0
5.88495E-4,3907.6
5.95038E-4,3917.7
6.03029E-4,3923.7
6.09102E-4,3915.6
6.13260E-4,3907.6
6.16508E-4,3905.9
6.20617E-4,3913.6
6.25391E-4,3920.6
6.30260E-4,3925.4
6.35943E-4,3926.1
6.40133E-4,3917.5
6.42312E-4,3911.2
6.45985E-4,3914.3
6.50909E-4,3932.4
6.58771E-4,3941.3
6.64900E-4,3931.9
6.69630E-4,3925.4
6.74033E-4,3926.4
6.77853E-4,3926.1
6.81674E-4,3925.9
6.84796E-4,3927.1
6.88193E-4,3922.1
6.92131E-4,3933.6
6.98025E-4,3944.0
7.03243E-4,3940.8
7.07307E-4,3935.0
7.10164E-4,3927.8
7.12376E-4,3920.8
7.16261E-4,3933.6
7.22428E-4,3952.1
7.30069E-4,3951.7
7.34421E-4,3939.4
7.37967E-4,3931.0
7.44252E-4,3946.8
7.53255E-4,3958.6
7.60074E-4,3948.0
7.63473E-4,3928.6
7.65270E-4,3916.5
7.67652E-4,3920.1
7.75459E-4,3959.1
7.81915E-4,3956.7
7.84174E-4,3934.3
7.85548E-4,3917.5
7.86043E-4,3906.2
7.86316E-4,3899.9
7.86588E-4,3893.6
7.86735E-4,3890.3
7.86923E-4,3885.9
7.87059E-4,3882.8
7.87153E-4,3880.6
7.88235E-4,3885.0
7.97534E-4,3962.5
8.12840E-4,3989.5
8.17298E-4,3946.4
8.18315E-4,3923.3
8.19435E-4,3912.2
8.20789E-4,3910.3
8.29102E-4,3966.6
8.46614E-4,3986.8
8.56728E-4,3959.4
8.61748E-4,3946.4
8.69838E-4,3964.4
8.81356E-4,3976.7
8.91892E-4,3968.3
8.95425E-4,3945.9
8.96928E-4,3926.1
9.00802E-4,3939.1
9.09253E-4,3977.7
9.22168E-4,3987.0
9.30595E-4,3969.0
9.34929E-4,3957.2
9.42499E-4,3972.6
9.53832E-4,3989.0
9.63788E-4,3979.3
9.69037E-4,3961.3
9.73397E-4,3963.2
9.82504E-4,3986.8
9.93126E-4,3990.7
9.99542E-4,3975.0
0.00100,3960.8
0.00101,3982.5
0.00102,4001.2
0.00103,3980.5
0.00103,3957.7
0.00104,3970.2
0.00105,4004.9
0.00106,4002.0
0.00106,3967.5
0.00106,3949.0
0.00107,3970.7
0.00107,3984.2
0.00107,3980.5
0.00108,4000.3
0.00108,4005.6
0.00109,4008.2
0.00110,3993.1
0.00110,3977.2
0.00110,3983.4
0.00111,4008.2
0.00112,4018.8
0.00112,4005.6
0.00113,4007.7
0.00114,4002.2
0.00114,3995.0
0.00115,4010.4
0.00115,4002.5
0.00116,4005.1
0.00116,3993.8
0.00116,3987.5
0.00117,3991.6
0.00117,4004.1
0.00118,4026.0
0.00118,4027.5
0.00119,4023.4
0.00120,4006.8
0.00120,3995.0
0.00120,3987.0
0.00120,3978.1
0.00120,3970.7
0.00120,3964.4
0.00120,3958.4
0.00121,3961.3
0.00121,3975.0
0.00121,4021.2
0.00123,4058.5
0.00124,4041.9
0.00125,4025.6
0.00126,4025.3
0.00127,4032.1
0.00128,4039.5
0.00130,4030.1
0.00131,4019.3
0.00132,4029.2
0.00133,4037.8
0.00135,4034.7
0.00136,4028.0
0.00137,4027.0
0.00138,4032.8
0.00139,4038.1
0.00140,4036.2
0.00141,4039.8
0.00143,4044.1
0.00144,4044.3
0.00145,4042.9
0.00146,4038.8
0.00148,4042.7
0.00148,4042.2
0.00149,4038.3
0.00150,4041.2
0.00151,4047.0
0.00152,4054.2
0.00153,4047.7
0.00153,4047.5
0.00154,4064.1
0.00156,4060.9
0.00156,4039.5
0.00157,4031.3
0.00157,4045.8
0.00158,4069.1
0.00159,4063.4
0.00159,4034.0
0.00159,4015.5
0.00160,4020.5
0.00161,4073.2
0.00162,4073.2
0.00162,4042.4
0.00162,4028.2
0.00162,4036.9
0.00163,4070.3
0.00163,4054.0
0.00163,4034.5
0.00163,4022.2
0.00163,4013.8
0.00163,4007.5
0.00164,4003.2
0.00164,3998.8
0.00164,3994.7
0.00164,3992.1
0.00164,3988.7
0.00164,3986.8
0.00164,3984.9
0.00164,3981.5
0.00164,3980.5
0.00164,3978.6
0.00164,3976.9
0.00164,3976.0
0.00164,3974.5
0.00164,3973.8
0.00164,3972.4
0.00164,3971.4
0.00164,3973.1
0.00164,4003.2
0.00165,4114.6
0.00166,4117.0
0.00166,4079.5
0.00166,4060.9
0.00167,4052.8
0.00167,4075.6
0.00168,4117.0
0.00169,4107.2
0.00171,4085.0
0.00171,4068.4
0.00171,4063.4
0.00172,4080.2
0.00173,4092.2
0.00174,4084.1
0.00174,4077.6
0.00175,4075.4
0.00175,4075.9
0.00176,4083.6
0.00177,4095.6
0.00178,4095.4
0.00179,4089.4
0.00180,4086.0
0.00181,4083.8
0.00182,4081.9
0.00182,4086.9
0.00183,4089.4
0.00184,4083.8
0.00185,4079.2
0.00186,4092.7
0.00187,4100.9
0.00188,4090.6
0.00189,4083.3
0.00190,4083.8
0.00191,4087.9
0.00192,4084.3
0.00192,4089.4
0.00193,4090.6
0.00194,4090.6
0.00195,4076.4
0.00195,4047.9
0.00195,4034.0
0.00195,4026.8
0.00195,4046.5
0.00196,4094.9
0.00196,4069.6
0.00196,4054.9
0.00196,4045.5
0.00196,4044.3
0.00197,4061.7
0.00197,4104.8
0.00199,4124.7
0.00200,4108.8
0.00202,4092.0
0.00203,4079.2
0.00203,4050.8
0.00203,4036.2
0.00203,4041.7
0.00203,4060.2
0.00204,4098.3
0.00205,4113.9
0.00206,4101.9
0.00207,4094.9
0.00208,4097.5
0.00209,4091.5
0.00210,4093.2
0.00210,4097.3
0.00211,4096.3
0.00212,4090.3
0.00212,4087.7
0.00213,4090.6
0.00213,4102.8
0.00214,4116.6
0.00216,4116.6
0.00217,4111.5
0.00219,4108.8
0.00220,4110.5
0.00221,4114.4
0.00223,4115.8
0.00224,4111.7
0.00225,4111.3
0.00227,4111.5
0.00227,4110.3
0.00228,4112.7
0.00229,4107.4
0.00229,4095.6
0.00229,4083.3
0.00230,4077.6
0.00230,4095.1
0.00231,4129.6
0.00232,4138.5
0.00233,4128.6
0.00234,4127.4
0.00235,4129.3
0.00237,4129.3
0.00239,4125.5
0.00241,4120.2
0.00242,4118.7
0.00244,4113.7
0.00244,4092.7
0.00244,4094.4
0.00245,4134.1
0.00247,4131.5
0.00248,4110.1
0.00248,4098.5
0.00249,4114.4
0.00250,4142.6
0.00251,4126.7
0.00252,4118.2
0.00253,4122.1
0.00254,4125.5
0.00256,4127.6
0.00257,4125.7
0.00258,4128.1
0.00259,4127.6
0.00260,4126.9
0.00262,4128.1
0.00263,4127.1
0.00265,4128.1
0.00266,4118.5
0.00266,4109.1
0.00267,4118.5
0.00268,4133.6
0.00269,4121.4
0.00270,4107.4
0.00270,4121.4
0.00271,4134.6
0.00272,4122.8
0.00273,4115.6
0.00273,4124.5
0.00274,4133.9
0.00275,4129.3
0.00276,4116.6
0.00276,4111.5
0.00277,4135.3
0.00278,4145.9
0.00279,4108.1
0.00279,4092.0
0.00279,4101.9
0.00280,4157.2
0.00281,4145.9
0.00282,4125.5
0.00282,4108.1
0.00282,4098.5
0.00282,4124.3
0.00283,4166.4
0.00284,4153.9
0.00285,4136.1
0.00285,4116.6
0.00285,4104.0
0.00286,4121.4
0.00286,4164.2
0.00287,4163.0
0.00288,4153.6
0.00289,4144.5
0.00289,4125.0
0.00289,4105.0
0.00289,4094.4
0.00289,4087.2
0.00289,4081.2
0.00289,4077.1
0.00289,4073.9
0.00289,4080.4
0.00290,4133.4
0.00291,4196.5
0.00293,4165.2
0.00294,4152.2
0.00295,4151.2
0.00297,4150.7
0.00298,4151.7
0.00300,4144.7
0.00301,4145.0
0.00302,4147.6
0.00304,4151.7
0.00306,4149.3
0.00307,4145.9
0.00309,4140.9
0.00310,4138.5
0.00311,4145.9
0.00312,4150.3
0.00313,4149.8
0.00315,4142.6
0.00316,4138.5
0.00316,4139.7
0.00317,4139.2
0.00318,4142.6
0.00319,4151.9
0.00320,4150.0
0.00321,4130.5
0.00321,4112.7
0.00321,4113.7
0.00322,4154.6
0.00324,4159.4
0.00325,4128.1
0.00325,4111.3
0.00325,4104.8
0.00326,4144.2
0.00327,4159.4
0.00328,4139.9
0.00329,4130.3
0.00330,4150.7
0.00332,4144.0
0.00333,4140.1
0.00334,4141.3
0.00335,4132.9
0.00336,4140.9
0.00337,4143.8
0.00338,4144.7
0.00339,4136.1
0.00340,4135.8
0.00341,4140.9
0.00342,4143.8
0.00343,4141.6
0.00344,4140.1
0.00346,4138.2
0.00347,4135.8
0.00348,4140.1
0.00349,4136.1
0.00350,4123.8
0.00350,4103.8
0.00350,4096.1
0.00351,4114.4
0.00352,4160.4
0.00353,4146.9
0.00354,4129.6
0.00355,4127.6
0.00356,4129.6
0.00357,4127.1
0.00358,4128.3
0.00359,4123.5
0.00360,4109.3
0.00361,4113.2
0.00362,4135.1
0.00363,4121.4
0.00365,4107.9
0.00365,4079.0
0.00365,4064.3
0.00366,4074.4
0.00367,4142.6
0.00368,4099.2
0.00368,4080.9
0.00368,4069.6
0.00368,4074.9
0.00369,4133.6
0.00371,4110.1
0.00372,4091.0
0.00373,4083.8
0.00373,4063.4
0.00373,4050.1
0.00373,4044.8
0.00373,4061.4
0.00374,4098.3
0.00374,4122.6
0.00376,4103.3
0.00378,4078.8
0.00380,4064.1
0.00382,4052.0
0.00382,4050.6
0.00383,4066.2
0.00385,4054.0
0.00387,4041.9
0.00388,4032.3
0.00390,4023.6
0.00391,4018.6
0.00392,4011.6
0.00393,4005.6
0.00394,4004.6
0.00396,3992.1
0.00397,3981.8
0.00399,3974.3
0.00400,3961.5
0.00403,3949.0
0.00405,3930.7
0.00407,3915.6
0.00409,3895.8
0.00409,3882.3
0.00410,3897.5
0.00411,3888.8
0.00412,3874.4
0.00414,3854.2
0.00415,3845.5
0.00416,3839.5
0.00418,3818.8
0.00419,3807.0
0.00420,3801.9
0.00422,3780.0
0.00424,3755.5
0.00426,3723.5
0.00457,-88.8
0.00464,-108.1
0.00467,-109.0
0.00467,-109.8
0.00468,-108.6
0.00468,-108.6
0.00468,-107.8
0.00467,-108.1
0.00467,-107.1
0.00467,-107.4
0.00467,-106.9
0.00467,-106.2
0.00467,-107.1
0.00467,-105.2
0.00467,-106.6
0.00467,-105.7
0.00467,-106.2
0.00467,-104.7
0.00467,-105.2
0.00467,-105.7
0.00467,-105.4
0.00467,-105.4
0.00467,-105.7
0.00467,-105.0
0.00467,-105.2
0.00467,-104.7
0.00467,-104.7
0.00467,-105.0
0.00467,-104.7
0.00467,-105.0
0.00467,-104.5
0.00467,-104.0
0.00467,-105.2
0.00467,-104.0
0.00467,-104.7
0.00467,-105.0
0.00467,-104.0
0.00467,-104.7
